timestamp,Q1-1_PwD-anger,Q1-2_PwD-disgust,Q1-3_PwD-fear,Q1-4_PwD-happiness,Q1-5_PwD-sadness,Q1-6_PwD-surprise,Q2-1_MeD-anger,Q2-2_MeD-disgust,Q2-3_MeD-fear,Q2-4_MeD-hapiness,Q2-5_MeD-sadness,Q2-6_MeD-surprise,Q3-1_OthND-anger,Q3-2_OthND-disgust,Q3-3_OthND-fear,Q3-4_OthND-happiness,Q3-5_OthND-sadness,Q3-6_OthND-surprise,Q4_privateD,Q5_jobD,age,gender
12/11/2023 17:25:00,1,1,0,3,1,1,1,1,0,2,1,1,2,2,2,2,1,1,4,0,60,male
12/11/2023 17:51:58,3,3,4,2,3,3,3,3,3,2,3,3,2,2,1,3,2,1,3,4,50,female
12/12/2023 7:42:57,3,3,3,3,3,1,2,2,3,2,3,3,1,2,1,2,2,2,0,0,46,female
12/12/2023 8:22:58,2,2,4,4,2,3,3,4,4,2,3,4,2,1,2,3,3,2,4,0,54,female
12/12/2023 9:10:26,3,3,3,2,4,3,3,3,3,2,3,3,2,1,2,3,2,1,3,1,31,female
12/12/2023 9:33:09,4,3,4,2,4,1,2,4,4,3,3,3,2,3,1,4,2,1,4,4,28,female
12/12/2023 9:59:24,3,3,4,2,2,3,2,2,3,2,2,2,3,3,3,2,3,3,4,0,63,male
12/12/2023 10:12:40,3,2,3,2,1,3,4,3,3,1,1,2,2,2,2,1,2,2,1,3,50,male
12/12/2023 10:27:07,3,3,3,0,3,1,2,2,4,1,3,1,3,3,2,3,3,3,4,0,72,male
12/12/2023 11:02:04,3,3,4,4,4,3,3,3,4,4,4,3,3,3,3,4,4,4,4,4,53,female
12/12/2023 11:24:59,2,1,4,2,3,4,3,2,3,1,3,3,3,3,2,3,2,2,1,0,64,female
12/12/2023 12:06:48,3,4,4,2,2,3,2,4,4,2,4,2,2,1,2,3,2,2,4,3,55,male
12/12/2023 12:10:48,3,3,3,1,1,1,2,3,4,1,1,1,2,2,2,3,3,3,4,1,56,male
12/12/2023 12:15:34,3,3,3,1,3,3,3,3,3,2,3,3,2,2,2,2,2,2,4,0,45,male
12/12/2023 12:28:54,2,3,4,3,4,1,4,4,4,4,4,4,3,3,3,4,4,4,0,0,55,female
12/12/2023 12:49:35,4,3,4,2,4,4,3,3,3,3,4,4,3,3,3,2,2,3,4,2,65,female
12/12/2023 13:45:09,2,2,4,2,3,2,3,2,3,2,3,2,2,2,3,2,3,3,0,0,55,female
12/12/2023 14:10:30,3,4,3,1,2,1,3,4,4,1,2,1,0,2,2,1,2,2,4,0,41,female
12/12/2023 15:37:58,4,4,4,4,4,4,4,4,4,0,4,4,2,2,2,2,2,2,1,0,48,male
12/12/2023 16:15:15,2,2,4,1,4,2,0,0,4,1,4,4,1,1,2,2,2,2,1,0,52,female
12/12/2023 17:30:22,2,3,2,2,3,4,4,4,4,1,3,4,3,3,2,2,3,2,4,2,51,female
12/12/2023 18:53:59,4,3,4,3,2,2,3,3,4,3,2,2,3,3,2,3,2,2,4,4,63,female
12/12/2023 19:06:30,3,3,4,1,4,3,4,4,4,1,3,1,2,1,1,3,1,2,1,0,31,male
12/12/2023 20:03:55,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,45,male
